timestamp_utc,run_id,stage,provider,model,units,unit_type,cost_usd,notes
2026-09-07T14:35:44Z,2026-09-07-AM-20260907T143457Z,run_stage_bc,manual-flow,veo-3.1-lite,28,flow_credits_assumed,0.000000,"4 hero clips manually generated in Flow, consumed from clip-pool (2026-09-07-AM-1.mp4, 2026-09-07-AM-2.mp4, 2026-09-07-AM-3.mp4, 2026-09-07-AM-4.mp4)"
2026-09-07T14:43:46Z,2026-09-07-AM-20260907T144346Z,stage5_visual_generation,pollinations,pollinations-flux,0,assets,0.000000,stills summary - see per-asset rows above
2026-09-07T14:43:46Z,2026-09-07-AM-20260907T144346Z,run_stage_bc,manual-flow,veo-3.1-lite,28,flow_credits_assumed,0.000000,"4 hero clips manually generated in Flow, consumed from clip-pool (2026-09-07-AM-1.mp4, 2026-09-07-AM-2.mp4, 2026-09-07-AM-3.mp4, 2026-09-07-AM-4.mp4)"
2026-09-07T14:45:42Z,2026-09-07-AM-20260907T144542Z,stage5_visual_generation,pollinations,pollinations-flux,0,assets,0.000000,stills summary - see per-asset rows above
2026-09-07T14:45:42Z,2026-09-07-AM-20260907T144542Z,run_stage_bc,manual-flow,veo-3.1-lite,28,flow_credits_assumed,0.000000,"4 hero clips manually generated in Flow, consumed from clip-pool (2026-09-07-AM-1.mp4, 2026-09-07-AM-2.mp4, 2026-09-07-AM-3.mp4, 2026-09-07-AM-4.mp4)"
2026-09-07T14:50:10Z,2026-09-07-AM-20260907T144542Z,stage7_upload,youtube-data-api,,1,upload,0.000000,bvD7QBp8Kaw
2026-09-08T04:12:35Z,2026-09-08-V1-20260908T041235Z,stage5_visual_generation,pollinations,pollinations-flux,0,assets,0.000000,stills summary - see per-asset rows above
2026-09-08T04:12:35Z,2026-09-08-V1-20260908T041235Z,run_stage_bc,manual-flow,omni-1.1-flash,42,flow_credits_assumed,0.000000,"6 hero clips manually generated in Flow, consumed from clip-pool (2026-09-08-V1-1.mp4, 2026-09-08-V1-2.mp4, 2026-09-08-V1-3.mp4, 2026-09-08-V1-4.mp4, 2026-09-08-V1-5.mp4, 2026-09-08-V1-6.mp4)"
2026-09-08T04:16:16Z,2026-09-08-V1-20260908T041235Z,generate_metadata,none,fallback,1,metadata_call,0.000000,title+description via fallback
2026-09-08T04:19:02Z,2026-09-08-V1-20260908T041235Z,stage7_upload,youtube-data-api,,1,upload,0.000000,Yb9eviU3yoc
2026-09-08T05:39:35Z,2026-09-08-V2-20260908T053935Z,stage5_visual_generation,pollinations,pollinations-flux,0,assets,0.000000,stills summary - see per-asset rows above
2026-09-08T05:39:35Z,2026-09-08-V2-20260908T053935Z,run_stage_bc,manual-flow,omni-1.1-flash,42,flow_credits_assumed,0.000000,"6 hero clips manually generated in Flow, consumed from clip-pool (2026-09-08-V2-1.mp4, 2026-09-08-V2-2.mp4, 2026-09-08-V2-3.mp4, 2026-09-08-V2-4.mp4, 2026-09-08-V2-5.mp4, 2026-09-08-V2-6.mp4)"
2026-09-08T05:41:21Z,2026-09-08-V2-20260908T053935Z,generate_metadata,none,fallback,1,metadata_call,0.000000,title+description via fallback
2026-09-08T05:41:21Z,2026-09-08-V3-20260908T054121Z,stage5_visual_generation,pollinations,pollinations-flux,0,assets,0.000000,stills summary - see per-asset rows above
2026-09-08T05:41:21Z,2026-09-08-V3-20260908T054121Z,run_stage_bc,manual-flow,omni-1.1-flash,42,flow_credits_assumed,0.000000,"6 hero clips manually generated in Flow, consumed from clip-pool (2026-09-08-V3-1.mp4, 2026-09-08-V3-2.mp4, 2026-09-08-V3-3.mp4, 2026-09-08-V3-4.mp4, 2026-09-08-V3-5.mp4, 2026-09-08-V3-6.mp4)"
2026-09-08T05:43:13Z,2026-09-08-V3-20260908T054121Z,generate_metadata,none,fallback,1,metadata_call,0.000000,title+description via fallback
2026-09-08T05:54:49Z,2026-09-08-V2-20260908T053935Z,stage7_upload,youtube-data-api,,1,upload,0.000000,2T-hPRnmX2A
2026-09-08T05:55:45Z,2026-09-08-V3-20260908T054121Z,stage7_upload,youtube-data-api,,1,upload,0.000000,4g_n-9UKZjU
2026-09-12T11:09:28Z,2026-09-12-V1-20260912T110928Z,stage5_visual_generation,pollinations,pollinations-flux,0,assets,0.000000,stills summary - see per-asset rows above
2026-09-12T11:09:28Z,2026-09-12-V1-20260912T110928Z,run_stage_bc,manual-flow,omni-1.1-flash,42,flow_credits_assumed,0.000000,"6 hero clips manually generated in Flow, consumed from clip-pool (2026-09-12-V1-1.mp4, 2026-09-12-V1-2.mp4, 2026-09-12-V1-3.mp4, 2026-09-12-V1-4.mp4, 2026-09-12-V1-5.mp4, 2026-09-12-V1-6.mp4)"
2026-09-12T11:11:00Z,2026-09-12-V1-20260912T110928Z,generate_metadata,none,fallback,1,metadata_call,0.000000,title+description via fallback
2026-09-12T11:13:01Z,2026-09-12-V1-20260912T110928Z,stage7_upload,youtube-data-api,,1,upload,0.000000,JMeBCtdqfHg
2026-09-12T11:40:08Z,2026-09-12-V3-20260912T114008Z,stage5_visual_generation,pollinations,pollinations-flux,0,assets,0.000000,stills summary - see per-asset rows above
2026-09-12T11:40:08Z,2026-09-12-V3-20260912T114008Z,run_stage_bc,manual-flow,omni-1.1-flash,42,flow_credits_assumed,0.000000,"6 hero clips manually generated in Flow, consumed from clip-pool (2026-09-12-V3-1.mp4, 2026-09-12-V3-2.mp4, 2026-09-12-V3-3.mp4, 2026-09-12-V3-4.mp4, 2026-09-12-V3-5.mp4, 2026-09-12-V3-6.mp4)"
2026-09-12T11:41:37Z,2026-09-12-V3-20260912T114008Z,generate_metadata,none,fallback,1,metadata_call,0.000000,title+description via fallback
